"species_name","decimalLatitude","decimalLongitude"
"Centropogon_costaricae",9.67,-83.83
"Centropogon_costaricae",9.67,-83.88
"Centropogon_costaricae",9.87778,-84.15
"Centropogon_costaricae",10.30264,-84.79517
"Centropogon_costaricae",8.89306,-82.61681
"Centropogon_costaricae",9.5,-83.75
"Centropogon_costaricae",9.8333,-83.75
"Centropogon_costaricae",10.5,-84.5
"Centropogon_costaricae",10.5893,-85.2923
"Centropogon_costaricae",9.55,-83.8
"Centropogon_costaricae",10.286111,-84.683333
"Centropogon_costaricae",9.864722,-84.143611
"Centropogon_costaricae",9.627778,-83.852778
"Centropogon_costaricae",9.579167,-84.084722
"Centropogon_costaricae",9.535,-83.811389
"Centropogon_costaricae",9.877194,-84.142194
"Centropogon_costaricae",9.51,-83.58
"Centropogon_costaricae",9.71,-84.12
"Centropogon_costaricae",9.53,-83.58
"Centropogon_costaricae",9.566667,-83.733333
"Centropogon_costaricae",9.5583,-83.7247
"Centropogon_costaricae",10.355,-84.64944
"Centropogon_costaricae",10.306111,-84.7825
"Centropogon_costaricae",10.24,-84.74
"Centropogon_costaricae",9.64694,-83.84583
"Centropogon_costaricae",9.68,-83.98
"Centropogon_costaricae",9.54111,-83.59139
"Centropogon_costaricae",9.58,-83.8
"Centropogon_costaricae",9.5,-83.83
"Centropogon_costaricae",9.85,-84.14
"Centropogon_costaricae",9.61,-83.81
"Centropogon_costaricae",9.58,-83.76
"Centropogon_costaricae",10.16,-84.1
"Centropogon_costaricae",9.55,-83.68
"Centropogon_costaricae",9.91,-84.25
"Centropogon_costaricae",9.56,-83.8
"Centropogon_costaricae",10.3,-84.78
"Centropogon_costaricae",10.08,-84.08
"Centropogon_costaricae",9.8,-83.49
"Centropogon_costaricae",9.73,-83.95
"Centropogon_costaricae",9.55,-83.72
"Centropogon_costaricae",9.56,-83.66
"Centropogon_costaricae",9.55,-83.75
"Centropogon_costaricae",10.28,-84.68
"Centropogon_costaricae",9.21,-83.05
"Centropogon_costaricae",9.62,-83.85
"Centropogon_costaricae",9.57,-83.8
"Centropogon_costaricae",9.6,-83.83
"Centropogon_costaricae",9.53,-83.81
"Centropogon_costaricae",9.65,-83.85
"Centropogon_costaricae",9.56,-83.7
"Centropogon_costaricae",9.56,-83.76
"Centropogon_costaricae",9.55,-83.69
"Centropogon_costaricae",9.7,-84.03
"Centropogon_costaricae",9.55,-83.66
"Centropogon_costaricae",10.3,-84.76
"Centropogon_costaricae",9.66,-83.85
"Centropogon_costaricae",9.6,-83.8
"Centropogon_costaricae",10.7,-84.99
"Centropogon_costaricae",10.93333,-85.45
"Centropogon_costaricae",10.298056,-84.795833
"Centropogon_costaricae",9.654102,-83.840678
"Centropogon_costaricae",9.877778,-84.15
"Centropogon_costaricae",9.936111,-83.815278
"Centropogon_costaricae",9.211218,-83.06789
"Centropogon_costaricae",10.138889,-84.094444
"Centropogon_costaricae",9.883245,-84.154632
"Centropogon_costaricae",9.541111,-83.591389
"Centropogon_costaricae",9.566667,-83.661667
"Centropogon_talamancensis",9.5,-83.75
"Centropogon_talamancensis",9.608333,-83.782778
"Centropogon_talamancensis",9.502778,-83.714722
"Centropogon_talamancensis",9.591667,-83.766667
"Centropogon_talamancensis",9.618556,-83.816983
"Centropogon_talamancensis",9.610833,-83.8225
"Centropogon_talamancensis",9.618562,-83.816984
"Centropogon_talamancensis",9.617778,-83.847778
"Centropogon_talamancensis",9.618056,-83.816667
"Centropogon_talamancensis",9.558333,-83.725
"Centropogon_talamancensis",9.619444,-83.833333
"Centropogon_talamancensis",9.654102,-83.840678
"Centropogon_talamancensis",9.35473,-83.634843
"Centropogon_talamancensis",9.62106,-83.865509
"Centropogon_talamancensis",9.675878,-83.901209
"Centropogon_talamancensis",9.559517,-83.723213
"Centropogon_talamancensis",9.609326,-83.816811
"Centropogon_talamancensis",9.557342,-83.72338
"Centropogon_talamancensis",9.564989,-83.752491
"Centropogon_talamancensis",9.608458,-83.817278
"Centropogon_talamancensis",9.566625,-83.75
"Centropogon_talamancensis",9.610963,-83.819219
"Centropogon_talamancensis",9.647443,-83.845989
"Centropogon_talamancensis",9.608638,-83.816487
"Centropogon_talamancensis",10.35416,-84.64222
"Centropogon_talamancensis",9.55,-83.72
"Centropogon_talamancensis",10.30611,-84.75833
"Centropogon_talamancensis",9.59,-83.76
"Centropogon_talamancensis",9.606639,-83.766972
"Centropogon_talamancensis",9.6,-83.75
"Centropogon_talamancensis",9.60638,-83.76944
"Centropogon_talamancensis",9.55,-83.7
"Centropogon_talamancensis",9.57,-83.75
"Centropogon_talamancensis",9.661056,-83.818423
"Centropogon_talamancensis",9.55,-83.716667
"Centropogon_talamancensis",9.55111,-83.71083
"Centropogon_talamancensis",9.56888,-83.73527
"Centropogon_talamancensis",9.79833,-83.99722
"Centropogon_talamancensis",9.04888,-83.24805
"Centropogon_talamancensis",9.61388,-83.8175
"Centropogon_talamancensis",9.616667,-83.819444
"Centropogon_talamancensis",9.616667,-83.816667
"Centropogon_talamancensis",9.61,-83.81
"Centropogon_talamancensis",9.56,-83.75
"Centropogon_talamancensis",9.62166,-83.7675
"Centropogon_talamancensis",9.61138,-83.79722
"Centropogon_talamancensis",9.56,-83.73
"Centropogon_talamancensis",9.65527,-83.84833
"Centropogon_talamancensis",9.105556,-82.873889
"Centropogon_talamancensis",9.818375,-83.705606
"Centropogon_talamancensis",9.61944,-83.81667
"Centropogon_talamancensis",9.567,-83.75
"Centropogon_talamancensis",9.60833,-84.06333
"Centropogon_talamancensis",9.61856,-83.81698
"Centropogon_talamancensis",9.50278,-83.71472
"Centropogon_talamancensis",9.8333,-83.75
"Centropogon_talamancensis",9.625278,-83.853611
"Centropogon_talamancensis",9.616667,-83.819445
"Centropogon_talamancensis",9.613889,-83.8175
"Centropogon_talamancensis",9.093889,-82.872778
"Centropogon_talamancensis",9.566667,-83.733333
"Centropogon_talamancensis",9.57055,-83.74472
"Centropogon_talamancensis",9.62,-83.84
"Centropogon_talamancensis",9.6,-83.8
"Centropogon_talamancensis",9.65,-83.85
"Centropogon_talamancensis",9.63,-83.84
"Centropogon_talamancensis",9.61,-83.79
"Centropogon_talamancensis",9.62,-83.85
"Centropogon_talamancensis",9.58,-83.8
"Centropogon_talamancensis",9.55,-83.71
"Centropogon_talamancensis",9.56,-83.76
"Centropogon_talamancensis",8.9,-82.616667
"Centropogon_talamancensis",10.026556,-83.759333
"Centropogon_valerii",9.624881,-83.827917
"Centropogon_valerii",9.558456,-83.724961
"Centropogon_valerii",9.573377,-83.870398
"Centropogon_valerii",9.560722,-83.721319
"Centropogon_valerii",9.618556,-83.816983
"Centropogon_valerii",9.603333,-83.761944
"Centropogon_valerii",9.55,-83.755556
"Centropogon_valerii",9.572222,-83.738889
"Centropogon_valerii",9.555556,-83.758333
"Centropogon_valerii",9.535392,-83.571033
"Centropogon_valerii",9.615583,-83.8565
"Centropogon_valerii",9.670833,-83.855556
"Centropogon_valerii",9.617778,-83.847778
"Centropogon_valerii",9.614444,-83.851464
"Centropogon_valerii",9.599749,-83.791717
"Centropogon_valerii",9.615288,-83.820275
"Centropogon_valerii",9.959861,-83.844815
"Centropogon_valerii",9.675878,-83.901209
"Centropogon_valerii",9.608398,-83.817137
"Centropogon_valerii",9.57617,-83.757591
"Centropogon_valerii",9.613482,-83.817482
"Centropogon_valerii",9.614519,-83.819216
"Centropogon_valerii",9.568083,-83.7366
"Centropogon_valerii",9.55,-83.72
"Centropogon_valerii",9.61361,-83.76361
"Centropogon_valerii",9.97,-83.84
"Centropogon_valerii",9.56,-83.75
"Centropogon_valerii",9.55,-83.716667
"Centropogon_valerii",9.616667,-83.816667
"Centropogon_valerii",9.61666,-84.18333
"Centropogon_valerii",9.53166,-83.70861
"Centropogon_valerii",9.55,-83.7
"Centropogon_valerii",9.6,-83.76
"Centropogon_valerii",9.57111,-83.73888
"Centropogon_valerii",9.6,-83.75
"Centropogon_valerii",9.105556,-82.873889
"Centropogon_valerii",9.616667,-83.86
"Centropogon_valerii",9.560017,-83.730567
"Centropogon_valerii",9.606639,-83.766972
"Centropogon_valerii",9.97,-83.83
"Centropogon_valerii",9.57,-83.75
"Centropogon_valerii",9.56888,-83.73527
"Centropogon_valerii",9.61138,-83.79722
"Centropogon_valerii",9.63722,-83.81611
"Centropogon_valerii",9.97333,-83.82916
"Centropogon_valerii",9.618333,-83.816944
"Centropogon_valerii",9.616667,-83.819444
"Centropogon_valerii",9.60805,-83.83888
"Centropogon_valerii",9.55111,-83.71083
"Centropogon_valerii",9.262472,-83.0455
